,Title,details
499,Café Society,comedy drama romance woodyallen jesseeisenberg kristenstewart stevecarell blakelively bronx native moves hollywood falls love young woman seeing married man 
500,Pride and Prejudice and Zombies,action horror romance burrsteers lilyjames samriley jackhuston bellaheathcote five sisters th century england must cope pressures marry protecting growing population zombies 
501,Nocturnal Animals,drama thriller tomford amyadams jakegyllenhaal michaelshannon aarontaylor johnson wealthy art gallery owner haunted ex husband novel violent thriller interprets symbolic revenge tale 
502,Popstar: Never Stop Never Stopping,comedy music akivaschaffer andysamberg jormataccone akivaschaffer sarahsilverman becomes clear solo album failure former boy band member everything power maintain celebrity status 
503,Queen of Katwe,biography drama sport miranair madinanalwanga davidoyelowo lupitanyong martinkabanza ugandan girl sees world rapidly change introduced game chess 
504,Dangal,action biography drama niteshtiwari aamirkhan sakshitanwar fatimasanashaikh sanyamalhotra former wrestler mahavir singh phogat two wrestler daughters struggle towards glory commonwealth games face societal oppression 
505,Loving,biography drama romance jeffnichols ruthnegga joeledgerton willdalton deanmumford story richard mildred loving couple whose arrest interracial marriage virginia began legal battle would end supreme court historic decision 
506,Shut In,drama horror thriller farrenblackburn naomiwatts charlieheaton jacobtremblay oliverplatt heart pounding thriller widowed child psychologist lives isolated existence rural new england caught deadly winter storm must find way rescue young boy disappears forever 
507,Jackie,biography drama history pablolarra natalieportman petersarsgaard gretagerwig billycrudup following assassination president john kennedy first lady jacqueline kennedy fights grief trauma regain faith console children define husband historic legacy 
508,Captain Fantastic,comedy drama mattross viggomortensen georgemackay samanthaisler annalisebasso forests pacific northwest father devoted raising six kids rigorous physical intellectual education forced leave paradise enter world challenging idea means parent 
509,Lion,biography drama garthdavis devpatel nicolekidman rooneymara sunnypawar five year old indian boy gets lost streets calcutta thousands kilometers home survives many challenges adopted couple australia years later sets find lost family 
510,Hunt for the Wilderpeople,adventure comedy drama taikawaititi samneill juliandennison rimatewiata rachelhouse national manhunt ordered rebellious kid foster uncle go missing wild new zealand bush 
511,Bleed for This,biography drama sport benyounger milesteller aaroneckhart kateysagal ciar nhinds inspirational story world champion boxer vinny pazienza who near fatal car crash left knowing he ever walk again made one sport incredible comebacks 
512,Hands of Stone,action biography drama jonathanjakubowicz edgarram rez usherraymond robertdeniro rub nblades legendary roberto duran equally legendary trainer ray arcel change other lives 
513,Don't Think Twice,comedy drama mikebirbiglia keegan michaelkey gillianjacobs mikebirbiglia chrisgethard member popular new york city improv troupe gets huge break rest group best friends start realize everyone going make all 
514,A Hologram for the King,comedy drama tomtykwer tomhanks saritachoudhury benwhishaw alexanderblack failed american sales rep looks recoup losses traveling saudi arabia selling company product wealthy monarch 
515,Swiss Army Man,adventure comedy drama dankwan pauldano danielradcliffe maryelizabethwinstead antoniaribero hopeless man stranded deserted island befriends dead body together go surreal journey get home 
516,Denial,biography drama mickjackson rachelweisz tomwilkinson timothyspall andrewscott acclaimed writer historian deborah lipstadt must battle historical truth prove holocaust actually occurred david irving renowned denier sues libel 
517,Morgan,horror sci fi thriller lukescott katemara anyataylor joy roseleslie michaelyare corporate risk management consultant must decide whether terminate artificially created humanoid being 
518,Max Steel,action adventure family stewarthendler benwinchell joshbrener mariabello andygarcia adventures teenager max mcgrath alien companion steel must harness combine tremendous new powers evolve turbo charged superhero max steel 
519,Midnight Special,drama mystery sci fi jeffnichols michaelshannon joeledgerton kirstendunst adamdriver father son go run pursued government cult drawn child special powers 
520,Rules Don't Apply,comedy drama romance warrenbeatty lilycollins haleybennett taissafarmiga stevetom unconventional love story aspiring actress determined driver boss eccentric billionaire howard hughes 
521,Miss Sloane,drama thriller johnmadden jessicachastain markstrong gugumbatha raw michaelstuhlbarg high stakes world political power brokers elizabeth sloane sought formidable lobbyist c taking powerful opponent career finds winning may come high price 
522,Indignation,drama romance jamesschamus loganlerman sarahgadon tijuanaricks suedahlman marcus working class jewish student new jersey attends small ohio college struggles sexual repression cultural disaffection amid ongoing korean war 
523,Everybody Wants Some!!,comedy richardlinklater blakejenner tylerhoechlin ryanguzman zoeydeutch group college baseball players navigate way freedoms responsibilities unsupervised adulthood 
524,Sing Street,comedy drama music johncarney ferdiawalsh peelo aidangillen mariadoylekennedy jackreynor boy growing dublin escapes strained family life starting band impress mysterious girl likes 
525,Anthropoid,biography history thriller seanellis jamiedornan cillianmurphy briancaspe karelherm nekjr based extraordinary true story operation anthropoid wwii mission assassinate ss general reinhard heydrich main architect behind final solution reich third command hitler himmler 
526,The Disappointments Room,drama horror thriller j caruso katebeckinsale melraido duncanjoiner lucastill mother young son release unimaginable horrors attic rural dream home 
527,Dear Zindagi,drama romance gaurishinde aliabhatt shahrukhkhan kunalkapoor priyankamoodley kaira budding cinematographer search perfect life encounter jug unconventional thinker helps gain new perspective life discovers happiness finding comfort life imperfections 
528,Hidden Figures,biography drama history theodoremelfi tarajip henson octaviaspencer janellemon kevincostner story team female african american mathematicians served vital role nasa early years s space program 
529,Billy Lynn's Long Halftime Walk,drama war anglee joealwyn garretthedlund arturocastro masonlee year old billy lynn brought home victory tour harrowing iraq battle flashbacks film shows really happened squad contrasting realities war america perceptions 
530,Genius,biography drama michaelgrandage colinfirth judelaw nicolekidman lauralinney chronicle max perkins time book editor scribner oversaw works thomas wolfe ernest hemingway scott fitzgerald others 
531,The Neon Demon,horror thriller nicolaswindingrefn ellefanning christinahendricks keanureeves karlglusman aspiring model jesse moves los angeles youth vitality devoured group beauty obsessed women take means necessary get has 
532,The Hollars,comedy drama romance johnkrasinski sharltocopley charlieday richardjenkins annakendrick man returns small hometown learning mother fallen ill undergo surgery 
533,Elle,crime drama thriller paulverhoeven isabellehuppert laurentlafitte anneconsigny charlesberling successful businesswoman gets caught game cat mouse tracks unknown man raped her 
534,31,horror thriller robzombie malcolmmcdowell richardbrake jeffdanielphillips sherimoonzombie five carnival workers kidnapped held hostage abandoned hell like compound forced participate violent game goal survive twelve hours gang sadistic clowns 
535,Mr. Church,comedy drama bruceberesford eddiemurphy brittrobertson nataschamcelhone xaviersamuel mr church tells story unique friendship develops little girl dying mother retain services talented cook henry joseph church begins six month arrangement instead spans fifteen years creates family bond lasts forever 
536,American Honey,drama andreaarnold sashalane shialabeouf rileykeough mccaullombardi teenage girl nothing lose joins traveling magazine sales crew gets caught whirlwind hard partying law bending young love criss crosses midwest band misfits 
537,Patriots Day,drama history thriller peterberg markwahlberg michellemonaghan k simmons johngoodman story boston marathon bombing aftermath includes city wide manhunt find terrorists responsible 
538,American Pastoral,crime drama ewanmcgregor ewanmcgregor jenniferconnelly dakotafanning peterriegert all american college star beauty queen wife watch seemingly perfect life fall apart daughter joins turmoil america 
539,The Age of Shadows,action drama thriller jee woonkim byung hunlee yoogong kang hosong ji minhan japanese agents close members korean resistance plan attack seoul 
540,Christine,biography drama antoniocampos rebeccahall michaelc hall tracyletts mariadizzia story christine chubbuck tv reporter struggling depression professional frustrations tries advance career 
541,Silence,adventure drama history martinscorsese andrewgarfield adamdriver liamneeson tadanobuasano th century two portuguese jesuit priests travel japan attempt locate mentor rumored committed apostasy propagate catholicism 
542,White Girl,drama elizabethwood morgansaylor brianmarc justinbartha adrianmartinez summer new york city college girl falls hard guy met night partying goes wrong goes wild extremes get back 
543,The Love Witch,comedy horror annabiller samantharobinson jeffreyvincentparise laurawaddell giankeys modern day witch uses spells magic get men fall love her 
544,Kicks,adventure justintipping jahkingguillory christopherjordanwallace christophermeyer kofisiriboe brandon year old whose dream pair fresh air jordans soon gets hands them they re stolen local hood causing brandon two friends go dangerous mission oakland retrieve them 
545,20th Century Women,comedy drama mikemills annettebening ellefanning gretagerwig billycrudup story teenage boy mother two women help raise among love freedom southern california 
546,Live by Night,crime drama benaffleck benaffleck ellefanning brendangleeson chrismessina group boston bred gangsters set shop balmy florida prohibition era facing competition ku klux klan 
547,A Street Cat Named Bob,biography comedy drama rogerspottiswoode luketreadaway bobthecat rutagedmintas joannefroggatt based international best selling book true feel good story james bowen busker recovering drug addict life transformed met stray ginger cat 
548,King Cobra,crime drama justinkelly garrettclayton christianslater mollyringwald jameskelley ripped from the headlines drama covers early rise gay porn headliner sean paul lockhart k brent corrigan falling producer made famous when see full summary 
549,Toni Erdmann,comedy drama marenade sandrah ller petersimonischek michaelwittenborn thomasloibl practical joking father tries reconnect hard working daughter creating outrageous alter ego posing ceo life coach 
550,Paterson,comedy drama romance jimjarmusch adamdriver golshiftehfarahani nellie rizwanmanji quiet observation triumphs defeats daily life along poetry evident smallest details 
551,A Monster Calls,drama fantasy a bayona lewismacdougall sigourneyweaver felicityjones tobykebbell boy seeks help tree monster cope single mother terminal illness 
552,The Comedian,comedy taylorhackford robertdeniro lesliemann dannydevito ediefalco look life aging insult comic named jack burke 
553,Hacker,crime drama thriller akansatayev callanmcauliffe lorrainenicholson danielericgold cliftoncollinsjr help new friends alex danyliuk turns life crime identity theft 
554,Pet,horror thriller carlestorrens dominicmonaghan kseniasolo jennettemccurdy da vonemcdonald psychological thriller man bumps old crush subsequently becomes obsessed her leading hold captive underneath animal shelter works see full summary 
555,A Kind of Murder,crime drama thriller andygoddard patrickwilson jessicabiel haleybennett vincentkartheiser new york walter stackhouse successful architect married beautiful clara leads seemingly perfect life fascination unsolved murder leads spiral chaos forced play cat and mouse clever killer overambitious detective time lusting another woman 
556,Moana,animation adventure comedy ronclements auli icravalho dwaynejohnson rachelhouse temueramorrison ancient polynesia terrible curse incurred demigod maui reaches impetuous chieftain daughter island answers ocean call seek demigod set things right 
557,Satanic,horror jeffreyg hunt sarahhyland stevenkrueger justinchon claramamet four friends way coachella stop los angeles tour true crime occult sites encounter mysterious young runaway puts terrifying path ultimate horror 
